AA,Americinns
UN,CARINO Htls Resorts Worldwide
UV,Univisit
UZ,Utell Connect
VC,Marriott Vacation Club
VE,Vantis Hotels
VI,Vienna International
VY,Maybourne Hotel Group
WA,Waldorf Astoria Hotels and Resorts
WB,Relais And Chateaux
WD,Chase Suite Hotels
WG,Wingate by Wyndham
WH,W Hotels
WI,Westin Hotels And Resorts
WK,Warwick Hotels
WM,Westmark Hotels
WR,Sterling Hotels And Resorts
WT,Tryp Hotels
WV,TravelCLICK
WW,Worldhotels
WX,Coast Hotels/Resorts
WY,Wyndham Hotels and Resorts
XL,Summit Hotels And Resorts
XN,XN Global Res
XO,Luxury Resorts
XR,The St. Regis
XV,Springhill Suites
XW,Webres
XZ,Hotelzon
YH,Booking Services by Trust
YO,Candlewood Suites
YP,AltiusPar Solutions
YR,Raffles Int Hotels And Resorts
YX,SynXis
YZ,Staybridge Suites
ZX,MI Independent Property
